Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 918
  Anomalies resolved    : 905
  Active at end         : 13
  Affected spots        : 30
  Quarantined at end    : 28
  Quarantine suppressed : 72
  Heartbeats suppressed : 32896
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         150.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
         210.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         300.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         390.0  QUARANTINE_ADD          spot=104 incidents=5 rules=['seq_integrity']
         390.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         420.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
         630.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
         660.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
         720.0  QUARANTINE_ADD          spot=289 incidents=6 rules=['seq_integrity']
         720.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         780.0  QUARANTINE_ADD          spot=224 incidents=7 rules=['seq_integrity']
         780.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
         810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
         840.0  QUARANTINE_ADD          spot=285 incidents=8 rules=['seq_integrity']
         840.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
         990.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        1050.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        1170.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        1380.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        1410.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        1530.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        1560.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        1800.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        1830.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        1950.0  QUARANTINE_ADD          spot=490 incidents=10 rules=['seq_integrity']
        1950.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        2070.0  ANOMALY_FLAG            spot=285 rule=rate_outlier
        2070.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        2100.0  QUARANTINE_ADD          spot=324 incidents=5 rules=['seq_integrity']
        2100.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        2160.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        2250.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        2280.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        2310.0  QUARANTINE_ADD          spot=435 incidents=5 rules=['seq_integrity']
        2310.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        2430.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        2850.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        3060.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        3180.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        3240.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        3750.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        3780.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        3780.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        3870.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        3900.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        3930.0  QUARANTINE_ADD          spot=376 incidents=5 rules=['seq_integrity']
        3930.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        3930.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        3960.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        4050.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        4110.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        4140.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        4170.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        4170.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        4200.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        4230.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        4230.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        4260.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        4260.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        4320.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        4350.0  QUARANTINE_ADD          spot=164 incidents=7 rules=['seq_integrity']
        4350.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        4350.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4380.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        4410.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4470.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        4560.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        4620.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        4650.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        4740.0  QUARANTINE_ADD          spot=322 incidents=9 rules=['seq_integrity']
        4740.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        4860.0  QUARANTINE_ADD          spot=428 incidents=5 rules=['seq_integrity']
        4860.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        4920.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        5010.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        5010.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        5100.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        5100.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5100.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        5160.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        5160.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
